Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Unexpected Business Season 1,Korean TV Show - 2021,11 episodes,"A variety show in which Cha Tae Hyun and Jo In Sung transform into the bosses of a supermarket. The show will give these two men, who have lived their whole lives in the city, a chance to experience life in the countryside.…",8.6
Seventeen in the Soop Season 2,Korean TV Show - 2023,6 episodes,"SEVENTEEN are heading back to the forest. Fresh off their 'Be The Sun World Tour', the 'HOT' hitmakers will be back for another season of IN THE SOOP. New episodes of the reality series will start in January 2023. (Source:…",9.0
Three Meals a Day: Doctors,Korean TV Show - 2021,9 episodes,"A new spin-off collaboration between “Hospital Playlist” cast members Jo Jung Suk, Jeon Mi Do, Jung Kyung Ho, Yoo Yeon Seok, and Kim Dae Myung and producing director (PD) Na Young Suk. The show follows the format…",8.7
Going Seventeen 2023,Korean TV Show - 2023,36 episodes,"The epic variety show known as the infinity challenge of the idol world is back with another season to delight carats and cubics with more fun and laughter with a wide variety of games and challenges, starting with a…",9.2
2 Days & 1 Night Season 3,Korean TV Show - 2013,257 episodes,"The cast members take various trips throughout South Korea, including many offshore islands, recommending various places that viewers can visit. While doing so, members also perform missions at a certain mealtime or…",8.7
ATEEZ Fever Road,Korean TV Show - 2020,8 episodes,The upcoming show will feature the premise of the ATEEZ members discovering a secret space in which a mysterious figure left hidden missions for them two years in the past. The idols must play a variety of entertaining…,8.9
WIN: Who Is Next?,Korean TV Show - 2013,11 episodes,YG’s next boy group formation will be determined on a real survival battle program called ‘WHO IS NEXT : WIN’ where only the real surviving team can seize the name ‘WINNER’ to make a debut.,8.1
Finding SKZ – God Edition,Korean TV Show - 2020,4 episodes,"The season will begin with the eight members finding their own “god powers” to become eight gods, and they will then fight to steal each other’s powers.

(Source: Soompi)",8.8
Youth With You Season 3,Chinese TV Show - 2021,22 episodes,A Chinese survival show consisting of male trainees. It is the fourth season in the entire Idol Producer series. Youth producers vote for their favorite trainees and the top 9 at the end of the show will debut and form…,7.7
Ateez Treasure Film,Korean TV Show - 2019,3 episodes,"'ATEEZ Treasure Film'. The boys will be going through 16 different challenges - 8 individual ones and 8 group ones. The reality show was filmed in Australia and in Los Angeles. 

(Source: AsianVote)",8.9
Love Catcher in Bali,Korean TV Show - 2022,8 episodes,"Kicking off with season 4, “Love Catcher” will take place in Bali, a fascinating island, to catch the love and money catchers as they play a psychological love game to find true love amidst endless doubts. (Source:…",8.2
NCT Life in Bangkok,Korean TV Show - 2016,6 episodes,"SM Entertainment's rookie boy group NCT are planning to show more of their unique characters in reality show 'NCT Life'! The season 1, NCT Life in Bangkok, focuses on SM Rookies and their journey to debut.",8.5
Boys Like Boys,Taiwanese TV Show - 2023,10 episodes,"Courageous men seek love in a six-day journey, discovering heart-stirring first love moments, dealing with unrequited emotions, misunderstandings, and conflicts. At the end of the journey, who will find their true match?…",7.9
Youth With You Season 1,Chinese TV Show - 2019,12 episodes,A survival show featuring 100 contestants where 9 people end up debuting in a group called UNINE. It is the second season of Idol Producer. The contestants go through a series of challenges that will then be judged by…,7.9
Kang's Kitchen Season 2,Korean TV Show - 2019,6 episodes,"The new season will follow the cast as they head to Gyeongju to sell snacks like ddeokbokki (spicy rice cakes), noodles, and patbingsu (shaved ice with red bean).

(Source: Soompi)",8.7
Treasure Map Season 1,Korean TV Show - 2020,28 episodes,"""Treasure Map"" is a pre-debut variety show of the K-pop boy group TREASURE. In this show, the members complete various challenges for fun and to strengthen their bonds with each other. Some episodes also focus on their…",8.9
My Teenage Boy: Fantasy Boys,Korean TV Show - 2023,11 episodes,"The global boy band project that will make the whole world excited begins. Fantasy Boys is season two of ""My Teen Girl"". The emperor of K-pop, Shim Chang Min of TVXQ, hosts the show. From the main dancer of the performance…",6.3
The Great Escape,Korean TV Show - 2018,13 episodes,"“The Great Escape” is a game show where the cast members have to work together to escape a secret room. Each challenge has a different theme, and members will learn about the context of the background story from…",8.6
Love Alarm Clap! Clap! Clap!,Korean TV Show - 2022,13 episodes,"A webtoon that has 5 billion views, produced as a variety show and dating program! Would you want to install an application that rings the alarm whenever you like someone? A fantasy dating game ""Love Alarm Clap! Clap!…",7.1
Run BTS! Season 4,Korean TV Show - TBA,10 episodes,"Fourth season of variety show ""Run BTS!"" made by the Korean group BTS, where they play various games. Season 4 starts from episode 156.

(Source: MyDramaList)",8.3
Elite League,Korean TV Show - 2023,8 episodes,"The top 1% of students from five prestigious universities in Korea (Seoul National University, KAIST, Pohang University of Science and Technology, Yonsei University, Korea University) participate, and only utilize brain…",8.9
Rookie King: Channel Bangtan,Korean TV Show - 2013,8 episodes,The first variety show of BTS which allows us to discover the boys own personalities with some challenges.,8.8
Hit the Stage,Korean TV Show - 2016,10 episodes,A dance competition where K-Pop artists and professional dance crews work together for the grand prize,8.4
Street Dance of China Season 4,Chinese TV Show - 2021,12 episodes,"The fourth season of blasting returns! The new upgrade of Sino-foreign confrontation, the new competition system of the star tutor professional dancer reality show, gives young people a new definition of trend culture.…",8.5
Celebrity Bromance,Korean TV Show - 2016,66 episodes,"Celebrity Bromance portrays star friendships, and is filmed the ""paparazzi - style"" from a distance to allow the cast members to feel less overwhelmed by cameras.",8.1
iKON TV,Korean TV Show - 2018,11 episodes,After debuting in 2015 boy group iKON is finally getting their own show. iKON TV is produced and filmed by the members themselves.,8.8
SKZ Family,Korean TV Show - 2021,1 episodes,"Stray Kids continue their family roleplay from The 9th: Season 5 Episode 3. This time, the family goes on a summer vacation, where they play various  mini games.

(Source: Bofinka at MyDramaList)",9.0
BTS Comeback Show,Korean TV Show - 2018,1 episodes,"The special comeback show will feature BTS’s first ever stage performances of their upcoming new songs from their new album ‘Love Yourself: Tear’, as well as behind-the-scene footages during the process of album…",8.6
Wanna One Go Season 2: Zero Base,Korean TV Show - 2017,8 episodes,The second season of Wanna One Go offers exciting scenes from Wanna One’s tours as well as a glimpse into the everyday life of Wanna One members. The fans will be thrilled to see exclusive footage of behind scenes…,8.8
The Zone: Survival Mission Season 1,Korean TV Show - 2022,8 episodes,"The world is consumed in a pandemic. New rules are established. In a disaster-simulated virtual space called The Zone, mankind is being tested. Jae Suk, Kwang Soo, and Yuri, who all lack in camaraderie and credibility,…",8.1
House on Wheels Season 1,Korean TV Show - 2020,12 episodes,"These days, buying your own house seems to be as tough as winning the lottery since house prices have gone through the roof. What would it be like to have a house that moves and allows you to live wherever you want?…",8.4
Love Is Blind: Japan,Japanese TV Show - 2022,11 episodes,"Thirty men and women come together over the course of a little over a month, with the first two weeks being held in pods where the contestants will get to know each other as couples are formed and will see who gets engaged…",7.6
Prison Life of Fools,Korean TV Show - 2019,26 episodes,"“Prison Life of Fools” (literal translation)  is a variety show where the cast members will divide themselves into different teams and play various games to find the hidden “mafia” member.

(Source: Soompi)",8.3
Pink Lie,Korean TV Show - 2022,12 episodes,"Does unconditional love exist? Young men and women move into the Pink House, each carrying one lie about themselves, be it their occupation, age, or academic background. Whirlwinds of emotions break out in the face of…",7.8
Monsta X - Ray Season 3,Korean TV Show - 2018,8 episodes,Overview not available,8.8
ENHYPEN&Hi Season 1,Korean TV Show - 2020,4 episodes,"“ENHYPEN&Hi” will realistically show the seven winners of the reality program “I-LAND” come together as a team and fulfill their dreams.

(Source: Soompi)",8.8
